Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          1.500          1.500          
AC             5.400          5.400          7.637          
AH             5.400          0.000          5.400          
BC             0.000          0.000          0.000          
CD             5.400          1.800          5.692          
CH             0.000          0.000          0.000          
DE             5.400          1.800          5.692          
DH             0.000          0.000          0.000          
EF             0.000          0.000          0.000          
EG             5.400          5.400          7.637          
EH             0.000          0.000          0.000          
FG             0.000          1.500          1.500          
GH             5.400          0.000          5.400          
Point A        0.000          6.900          6.900          
Point G        0.000          6.900          6.900          
