Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          2.000          2.000          
AC             5.032          4.800          6.954          
AH             5.032          0.000          5.032          
BC             0.000          0.000          0.000          
CD             4.952          1.676          5.228          
CH             0.080          0.076          0.110          
DE             4.952          1.676          5.228          
DH             0.000          0.152          0.152          
EF             0.000          0.000          0.000          
EG             5.032          4.800          6.954          
EH             0.080          0.076          0.110          
FG             0.000          2.000          2.000          
GH             5.032          0.000          5.032          
Point A        0.000          6.800          6.800          
Point G        0.000          6.800          6.800          
