	LA	LB	FA	FB
1	2.5	2	3	1.5
2	2.6	2	3	1.5
3	2.7	2	3	1.5
4	2.8	2	3	1.5
5	2.9	2	3	1.5
6	3	2	3	1.5
7	3.1	2	3	1.5
8	3.2	2	3	1.5
9	3.3	2	3	1.5
10	3.4	2	3	1.5
11	3.5	2	3	1.5
12	3	1.7	3	1.5
13	3	1.8	3	1.5
14	3	1.9	3	1.5
15	3	2	3	1.5
16	3	2.1	3	1.5
17	3	2.2	3	1.5
18	3	2.3	3	1.5
19	3	2	2.2	1.5
20	3	2	2.3	1.5
21	3	2	2.4	1.5
22	3	2	2.5	1.5
23	3	2	2.6	1.5
24	3	2	2.7	1.5
25	3	2	2.8	1.5
26	3	2	2.9	1.5
27	3	2	3	1.5
28	3	2	3.1	1.5
29	3	2	3.2	1.5
30	3	2	3.3	1.5
31	3	2	3.4	1.5
32	3	2	3.5	1.5
33	3	2	3.6	1.5
34	3	2	3.7	1.5
35	3	2	3.8	1.5
36	3	2	3	1.2
37	3	2	3	1.3
38	3	2	3	1.4
39	3	2	3	1.5
40	3	2	3	1.6
41	3	2	3	1.7
42	3	2	3	1.8
43	2.7	2.2	3	1.5
44	2.7	2.2	3	1.2
45	2.7	2.2	3	1.3
46	2.7	2.2	3	1.4
47	2.7	2.2	3	1.5
48	2.7	2.2	3	1.6
49	2.7	2.2	3	1.7
50	2.7	2.2	3	1.8
51	3	1.9	2.75	1.5
52	3	1.9	3.25	1.5
53	3	1.9	3	1.4
54	3	1.9	3	1.6
55	3.25	2	3.2	1.75
56	3.25	2	3.2	1.75
57	3.25	2	3.2	1.75
58	3.25	2	3.2	1.25
59	3.25	2	3.2	1.25
60	3.25	2	3.2	1.25
61	3.25	2.1	3.2	1.75
62	3.25	2.1	3.2	1.75
63	3.25	2.1	3.2	1.75
64	3.25	2.1	3.2	1.25
65	3.25	2.1	3.2	1.25
66	3.25	2.1	3.2	1.25
67	3.25	2	3.2	2
68	3.25	2	3.2	2
69	3.25	2	3.2	2
70	3.25	2	3.2	2
71	3.25	2	3.2	2
72	3.25	2	3.2	2
73	3.25	2.1	3.2	2
74	3.25	2.1	3.2	2
75	3.25	2.1	3.2	2
76	3.25	2.1	3.2	2
77	3.25	2.1	3.2	2
78	3.25	2.1	3.2	2
79	3.25	2	3.5	2
80	3.25	2	3.5	2
81	3.25	2	3.5	2
82	3.25	2	3.5	2
83	3.25	2	3.5	2
84	3.25	2	3.5	2
85	3.25	2.1	3.5	2
86	3.25	2.1	3.5	2
87	3.25	2.1	3.5	2
88	3.25	2.1	3.5	2
89	3.25	2.1	3.5	2
90	3.25	2.1	3.5	2
91	2.5	2	3.4	1.5
92	2.6	2	3.4	1.5
93	2.7	2	3.4	1.5
94	2.8	2	3	1.8
95	2.9	2	3	1.8
96	3	2	3	1.8
97	3.1	2	2.8	1.5
98	3.2	2	2.8	1.6
99	3.3	2	2.8	1.6
100	3.4	2	2.8	1.6
